NAMESPACE              NAME                                                    READY   STATUS        RESTARTS          AGE     IP           NODE                 NOMINATED NODE   READINESS GATES
default                kubernetes-bootcamp-66d5c96cb-hwt2m                     1/1     Running       1 (4d18h ago)     25d     10.42.2.37   k8s-worker-aws       <none>           <none>
default                mongo-84654c5f58-p9gx7                                  1/1     Running       1 (4d18h ago)     22d     10.42.2.34   k8s-worker-aws       <none>           <none>
default                reverse-proxy-5f99cc5945-fwkhp                          1/1     Running       1 (4d18h ago)     25d     10.42.1.19   k3s-master           <none>           <none>
default                webapp-d949f6bdb-brvcb                                  0/1     Error         727 (5m35s ago)   2d16h   10.42.3.25   k8s-worker-onprem    <none>           <none>
kube-system            coredns-5f5694d56b-d2zcp                                1/1     Running       2 (4d18h ago)     41d     10.42.1.20   k3s-master           <none>           <none>
kube-system            local-path-provisioner-58d557dc48-n7742                 1/1     Running       2 (4d18h ago)     41d     10.42.1.23   k3s-master           <none>           <none>
kube-system            metrics-server-7c86f97b8d-dmkjt                         1/1     Running       2 (4d18h ago)     41d     10.42.1.21   k3s-master           <none>           <none>
kube-system            svclb-traefik-311bbe8c-r5xml                            2/2     Running       4 (3d23h ago)     13d     10.42.0.10   k3s-worker-aws-ec2   <none>           <none>
kube-system            svclb-traefik-311bbe8c-rndd8                            2/2     Running       4 (4d18h ago)     41d     10.42.3.21   k8s-worker-onprem    <none>           <none>
kube-system            svclb-traefik-311bbe8c-svsb6                            2/2     Running       4 (4d18h ago)     41d     10.42.2.31   k8s-worker-aws       <none>           <none>
kube-system            svclb-traefik-311bbe8c-wgckg                            2/2     Running       4 (4d18h ago)     41d     10.42.1.18   k3s-master           <none>           <none>
kube-system            traefik-6cd8c7cd89-sscs8                                1/1     Running       2 (4d18h ago)     41d     10.42.1.22   k3s-master           <none>           <none>
kubernetes-dashboard   kubernetes-dashboard-api-556cbc9d96-vxnlb               1/1     Running       0                 15h     10.42.1.27   k3s-master           <none>           <none>
kubernetes-dashboard   kubernetes-dashboard-auth-5b898c8548-n7qtn              1/1     Running       0                 15h     10.42.1.26   k3s-master           <none>           <none>
kubernetes-dashboard   kubernetes-dashboard-kong-697d5d6f6b-w9wgh              1/1     Running       0                 15h     10.42.3.26   k8s-worker-onprem    <none>           <none>
kubernetes-dashboard   kubernetes-dashboard-metrics-scraper-59dddc4bc9-f7zms   1/1     Running       0                 15h     10.42.2.39   k8s-worker-aws       <none>           <none>
kubernetes-dashboard   kubernetes-dashboard-web-6db797454d-rpj82               1/1     Running       0                 15h     10.42.3.27   k8s-worker-onprem    <none>           <none>
lidar-lab              rabbitmq-85c965785d-7xfwr                               1/1     Running       0                 4d17h   10.42.1.25   k3s-master           <none>           <none>
outsight-analysis      analytics-659f76bb5d-5zg5k                              1/1     Running       2 (4d18h ago)     37d     10.42.2.38   k8s-worker-aws       <none>           <none>
outsight-analysis      analytics-659f76bb5d-ssmh9                              1/1     Running       2 (4d18h ago)     37d     10.42.2.36   k8s-worker-aws       <none>           <none>
outsight-analysis      dns-test                                                0/1     Completed     0                 38d     <none>       k8s-worker-aws       <none>           <none>
outsight-analysis      nginx-test-6c7889d6c-9vgbh                              1/1     Running       1 (4d18h ago)     9d      10.42.2.35   k8s-worker-aws       <none>           <none>
outsight-database      kpi-api-aws-7967cc977c-gtfpb                            1/1     Terminating   0                 3d21h   10.42.0.18   k3s-worker-aws-ec2   <none>           <none>
outsight-database      kpi-api-aws-7967cc977c-nd7cm                            0/1     Pending       0                 2d20h   <none>       <none>               <none>           <none>
outsight-database      postgres-0                                              1/1     Running       2 (4d18h ago)     38d     10.42.2.32   k8s-worker-aws       <none>           <none>
outsight-edge          detector-68698ddbdf-qht87                               1/1     Running       2 (4d18h ago)     38d     10.42.3.20   k8s-worker-onprem    <none>           <none>
outsight-edge          detector-68698ddbdf-w5sfj                               1/1     Running       2 (4d18h ago)     39d     10.42.3.23   k8s-worker-onprem    <none>           <none>
outsight-edge          recorder-7964555785-4qnn6                               1/1     Running       2 (4d18h ago)     38d     10.42.3.22   k8s-worker-onprem    <none>           <none>
outsight-edge          recorder-7964555785-rtljv                               1/1     Running       2 (4d18h ago)     38d     10.42.3.24   k8s-worker-onprem    <none>           <none>
